epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.321,1.3965,3.00937,1.46183,0.00296,0.89431,0.25713,0.13841,1.51575,3.95731,1.4764,0.000653333,0.000653333,0.000653333
2,451.194,1.35601,2.09434,1.37541,0.50706,0.08672,0.12176,0.07605,1.86997,3.85285,1.93196,0.00130693,0.00130693,0.00130693
3,676.621,1.45722,2.02556,1.44971,0.85997,0.61579,0.67693,0.33196,2.05905,2.37884,2.05923,0.00194733,0.00194733,0.00194733
4,900.735,1.46283,1.85141,1.41613,0.74758,0.73984,0.74862,0.47736,1.58593,6.8721,1.57776,0.0019406,0.0019406,0.0019406
5,1124.22,1.40686,1.65746,1.40858,0.94736,0.67751,0.74418,0.45404,1.63937,2.04969,1.57442,0.0019208,0.0019208,0.0019208
6,1347.06,1.39974,1.57316,1.41281,0.88171,0.76763,0.78757,0.46622,1.73424,1.65285,1.57262,0.001901,0.001901,0.001901
7,1571.06,1.38311,1.52918,1.41489,0.97333,0.7561,0.7901,0.45681,1.70346,1.78947,1.5172,0.0018812,0.0018812,0.0018812
8,1795.35,1.291,1.42886,1.36537,0.95934,0.76723,0.81095,0.47612,1.67911,1.42691,1.54559,0.0018614,0.0018614,0.0018614
9,2020.7,1.34272,1.46433,1.40317,0.94552,0.75339,0.79835,0.49843,1.58118,1.50606,1.53754,0.0018416,0.0018416,0.0018416
10,2245.03,1.30749,1.4034,1.3918,0.93729,0.72912,0.77502,0.49452,1.56369,1.47479,1.46887,0.0018218,0.0018218,0.0018218
11,2475.13,1.2569,1.37103,1.36509,0.97961,0.78134,0.81826,0.47726,1.6266,1.41544,1.53261,0.001802,0.001802,0.001802
12,2697.45,1.25883,1.34356,1.37393,0.96562,0.77778,0.80624,0.49602,1.6755,1.32063,1.55268,0.0017822,0.0017822,0.0017822
13,2919.97,1.32132,1.415,1.40136,0.96823,0.76965,0.80131,0.48144,1.58503,1.69678,1.50654,0.0017624,0.0017624,0.0017624
14,3140.73,1.21777,1.29541,1.3487,0.96009,0.78237,0.81795,0.48923,1.60148,1.25841,1.56009,0.0017426,0.0017426,0.0017426
