epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.471,0.89653,2.69742,1.00432,0.00285,0.5625,0.42394,0.19332,1.27201,3.83243,1.05471,0.00045009,0.00045009,0.00045009
2,272.179,0.87943,1.61518,0.9366,0.00275,0.5625,0.47012,0.24559,1.492,3.48348,1.2356,0.000898696,0.000898696,0.000898696
3,402.325,0.85178,1.47704,0.92299,1,0.48398,0.49825,0.22785,1.79202,2.44721,1.43211,0.00132882,0.00132882,0.00132882
4,530.622,0.85806,1.27427,0.91938,0.97902,0.5,0.66981,0.3707,1.58926,1.72554,1.29399,0.00156798,0.00156798,0.00156798
5,658.632,0.79827,1.08516,0.91726,0.84359,0.74808,0.83925,0.45969,1.56799,1.39419,1.36091,0.00153497,0.00153497,0.00153497
6,785.637,0.82469,1.02901,0.91195,0.85481,0.875,0.90094,0.54897,1.3746,1.19182,1.1743,0.00150197,0.00150197,0.00150197
7,912.074,0.7929,0.95917,0.90031,0.86414,0.87307,0.85117,0.52428,1.24271,1.03764,1.0815,0.00146896,0.00146896,0.00146896
8,1038.25,0.78616,0.8862,0.89411,0.86922,0.80867,0.85522,0.57177,1.09526,0.95099,1.01423,0.00143595,0.00143595,0.00143595
9,1164.97,0.72918,0.78567,0.88883,0.92466,0.92807,0.96356,0.61548,1.24858,0.89078,1.10891,0.00140295,0.00140295,0.00140295
10,1291.32,0.72311,0.74259,0.88046,0.71976,0.64194,0.72171,0.43991,1.20103,0.82474,1.10871,0.00136994,0.00136994,0.00136994
11,1417.57,0.70835,0.726,0.86645,0.97758,0.9375,0.93551,0.57803,1.4702,0.84299,1.21246,0.00133693,0.00133693,0.00133693
12,1544.29,0.7048,0.67764,0.87231,0.96874,0.81058,0.89808,0.60251,1.25477,0.75201,1.07769,0.00130393,0.00130393,0.00130393
13,1670.63,0.6612,0.64196,0.86215,0.9353,0.91342,0.90397,0.5655,1.40776,0.77238,1.1192,0.00127092,0.00127092,0.00127092
14,1797.25,0.66047,0.59455,0.84997,0.99427,0.87363,0.9568,0.53522,1.36339,0.73734,1.16603,0.00123791,0.00123791,0.00123791
15,1923.81,0.67548,0.59665,0.86134,0.93036,1,0.98831,0.64265,1.10689,0.64648,1.03993,0.00120491,0.00120491,0.00120491
16,2050.61,0.67131,0.58638,0.86385,0.98177,0.86782,0.92378,0.605,1.41484,0.67381,1.1728,0.0011719,0.0011719,0.0011719
17,2177.55,0.62091,0.52374,0.85489,0.98736,0.93031,0.93401,0.61768,1.37395,0.6677,1.15635,0.00113889,0.00113889,0.00113889
18,2304.56,0.65807,0.53195,0.86472,0.99415,0.9294,0.96167,0.60066,1.40611,0.65439,1.12988,0.00110589,0.00110589,0.00110589
19,2431.68,0.65366,0.51249,0.86727,0.98525,0.93018,0.93593,0.63419,1.2147,0.63516,1.04752,0.00107288,0.00107288,0.00107288
20,2558.56,0.62136,0.5017,0.84956,0.9268,0.9312,0.9638,0.62409,1.34235,0.59725,1.095,0.00103987,0.00103987,0.00103987
21,2685.35,0.62595,0.49294,0.85556,0.99343,0.98845,0.99496,0.62897,1.52305,0.64257,1.19029,0.00100687,0.00100687,0.00100687
22,2812.46,0.61634,0.47764,0.86284,0.9771,0.93577,0.97864,0.60629,1.26345,0.54129,1.08042,0.000973861,0.000973861,0.000973861
23,2939.58,0.60264,0.46198,0.847,0.85087,0.875,0.92117,0.53148,1.26557,0.59981,1.06678,0.000940855,0.000940855,0.000940855
24,3067.14,0.60822,0.45639,0.85371,0.92719,0.93617,0.95173,0.62689,1.25632,0.55893,1.07909,0.000907848,0.000907848,0.000907848
25,3194.36,0.59876,0.45444,0.85332,0.99343,0.99344,0.99319,0.63297,1.4174,0.58161,1.13913,0.000874842,0.000874842,0.000874842
26,3322.14,0.596,0.45873,0.843,0.98645,0.99273,0.99282,0.64631,1.3273,0.59848,1.10956,0.000841835,0.000841835,0.000841835
27,3449.42,0.59582,0.44814,0.85228,0.94108,0.99992,0.98646,0.63913,1.30203,0.56056,1.09888,0.000808828,0.000808828,0.000808828
28,3575.67,0.57699,0.44199,0.85214,0.94278,1,0.95333,0.54685,1.33954,0.56427,1.11797,0.000775822,0.000775822,0.000775822
29,3702.64,0.55641,0.41782,0.84354,0.99794,0.8744,0.92593,0.6066,1.29297,0.58255,1.07595,0.000742815,0.000742815,0.000742815
30,3829,0.55255,0.41751,0.83314,0.9906,0.9375,0.96929,0.64776,1.23963,0.52003,1.06859,0.000709809,0.000709809,0.000709809
31,3956.14,0.56875,0.41054,0.84727,0.98905,0.9375,0.937,0.65922,1.16338,0.51697,1.0503,0.000676802,0.000676802,0.000676802
32,4082.7,0.54905,0.40233,0.84357,0.99516,0.9375,0.983,0.66117,1.36941,0.5675,1.10828,0.000643795,0.000643795,0.000643795
33,4208.29,0.54067,0.3957,0.83742,0.99367,0.9375,0.983,0.63793,1.38772,0.56146,1.13916,0.000610789,0.000610789,0.000610789
34,4333.31,0.55547,0.40389,0.84814,0.99477,0.9375,0.98833,0.63972,1.22418,0.52827,1.07556,0.000577782,0.000577782,0.000577782
35,4458.48,0.53322,0.38919,0.84597,0.99186,0.9375,0.97864,0.65547,1.28189,0.53138,1.10166,0.000544776,0.000544776,0.000544776
36,4583.03,0.50517,0.36917,0.83854,0.97838,0.93558,0.98227,0.66446,1.36699,0.54475,1.12184,0.000511769,0.000511769,0.000511769
37,4707.48,0.53676,0.3816,0.83861,0.99614,0.9375,0.983,0.64712,1.39791,0.50919,1.15357,0.000478762,0.000478762,0.000478762
38,4832.56,0.502,0.36301,0.83118,0.99767,0.91914,0.98122,0.6438,1.36298,0.52598,1.12619,0.000445756,0.000445756,0.000445756
39,4956.88,0.50628,0.36572,0.8448,0.93793,0.99808,0.98672,0.65448,1.372,0.5387,1.14911,0.000412749,0.000412749,0.000412749
40,5081.4,0.50182,0.35361,0.83028,0.9968,1,0.995,0.6497,1.33486,0.53007,1.11582,0.000379743,0.000379743,0.000379743
41,5205.39,0.47791,0.3458,0.79896,0.99395,0.9375,0.983,0.68231,1.25812,0.48426,1.1086,0.000346736,0.000346736,0.000346736
42,5328.1,0.46257,0.3268,0.8159,0.99477,0.99924,0.995,0.66224,1.34346,0.51131,1.14298,0.000313729,0.000313729,0.000313729
43,5451.7,0.45246,0.31907,0.80577,0.94035,1,0.995,0.68016,1.33762,0.51819,1.11185,0.000280723,0.000280723,0.000280723
44,5574.89,0.4368,0.31001,0.8029,0.99895,0.98485,0.995,0.6683,1.41877,0.52615,1.15056,0.000247716,0.000247716,0.000247716
45,5698.28,0.4447,0.31272,0.80173,0.99846,0.99664,0.995,0.70257,1.21398,0.47108,1.07958,0.00021471,0.00021471,0.00021471
46,5820.99,0.43428,0.30635,0.80116,0.99771,0.9944,0.995,0.67503,1.31157,0.50943,1.11398,0.000181703,0.000181703,0.000181703
47,5944.07,0.42435,0.29224,0.81141,0.9978,0.9919,0.995,0.66734,1.35846,0.53265,1.12489,0.000148696,0.000148696,0.000148696
48,6066.45,0.43216,0.30224,0.79967,0.93763,1,0.98833,0.69772,1.22628,0.4812,1.0757,0.00011569,0.00011569,0.00011569
49,6188.83,0.41292,0.28989,0.81142,0.99847,0.99592,0.995,0.68797,1.33204,0.51022,1.11351,8.26832e-05,8.26832e-05,8.26832e-05
50,6310.96,0.38475,0.27453,0.79384,0.99845,0.99863,0.995,0.69146,1.28609,0.49494,1.1,4.96766e-05,4.96766e-05,4.96766e-05
